loss,accuracy,val_loss,val_accuracy
0.1619410365819931,0.954800009727478,0.01225252728909254,0.9990666508674622
0.007756984326988459,0.9991714358329773,0.004634040407836437,0.9994666576385498
0.001215500058606267,1.0,0.000573783356230706,1.0
0.0025394356343895197,0.9994285702705383,0.0007319457363337278,1.0
0.0003140373737551272,1.0,0.0001941170630743727,1.0
0.001174180768430233,0.9997143149375916,0.0010413475101813674,1.0
0.00021787811419926584,1.0,0.00012335558130871505,1.0
7.264035230036825e-05,1.0,0.011807266622781754,0.9959999918937683
0.0004766870697494596,0.999914288520813,6.082752224756405e-05,1.0
2.75268448604038e-05,1.0,1.9845114366034977e-05,1.0
1.103295107895974e-05,1.0,7.368046226474689e-06,1.0
3.566434770618798e-06,1.0,2.5472431843809318e-06,1.0
1.1515169262565905e-06,1.0,9.634539992475766e-07,1.0
4.1581216692065937e-07,1.0,4.573543890273868e-07,1.0
1.8515585509248922e-07,1.0,2.6139213105125236e-07,1.0
9.969301828505195e-08,1.0,1.863263889845257e-07,1.0
6.265639740377082e-08,1.0,1.3998524650560284e-07,1.0
4.3582911501971466e-08,1.0,1.1422305590258475e-07,1.0
3.250666580356665e-08,1.0,9.624922370221611e-08,1.0
2.5936532921377875e-08,1.0,8.375806004323749e-08,1.0
