loss,accuracy,val_loss,val_accuracy
0.20455926656723022,0.9323628544807434,0.10962401330471039,0.9683733582496643
0.09313129633665085,0.9736343026161194,0.07774849981069565,0.9783733487129211
0.06778009235858917,0.9820142984390259,0.060785554349422455,0.9837200045585632
0.0535980761051178,0.9859257340431213,0.04949064552783966,0.9866666793823242
0.04413675516843796,0.9885485768318176,0.043886035680770874,0.9877733588218689
0.03707198426127434,0.9905914068222046,0.039288341999053955,0.9887599945068359
0.031619179993867874,0.9921571612358093,0.03228118643164635,0.9915733337402344
0.027251040562987328,0.9934228658676147,0.02800919860601425,0.9929066896438599
0.023631535470485687,0.9943771362304688,0.025707148015499115,0.9932266473770142
0.020614314824342728,0.9953542947769165,0.02295682206749916,0.9934666752815247
0.018313851207494736,0.9958943128585815,0.02166769653558731,0.994053304195404
0.016246624290943146,0.9963914155960083,0.02015833556652069,0.994533360004425
0.014193881303071976,0.9969571232795715,0.018939509987831116,0.99454665184021
0.01264309324324131,0.997305691242218,0.01765354536473751,0.995306670665741
0.011232378892600536,0.997697114944458,0.016456477344036102,0.9954133629798889
0.010076023638248444,0.9980428814888,0.01499458309262991,0.9961866736412048
0.008991598151624203,0.998262882232666,0.014406410977244377,0.9963866472244263
0.007873434573411942,0.998568594455719,0.01384658645838499,0.9963600039482117
0.00698499521240592,0.9988057017326355,0.01423959992825985,0.9960399866104126
0.006358156446367502,0.9989657402038574,0.012818118557333946,0.9963600039482117
