loss,accuracy,val_loss,val_accuracy
0.45287004113197327,0.8461285829544067,0.33214935660362244,0.8877866864204407
0.3085760176181793,0.8949942588806152,0.27684134244918823,0.9071866869926453
0.26974791288375854,0.9082857370376587,0.2493516355752945,0.9160933494567871
0.2476140558719635,0.915228545665741,0.23263880610466003,0.9213066697120667
0.23254796862602234,0.9196799993515015,0.2256810963153839,0.9241733551025391
0.22140702605247498,0.9230971336364746,0.20875024795532227,0.9288533329963684
0.2127552628517151,0.92603999376297,0.20752578973770142,0.9280933141708374
0.2058371603488922,0.9282228350639343,0.19597943127155304,0.9332399964332581
0.20023919641971588,0.9301971197128296,0.20386065542697906,0.9302533268928528
0.1950705349445343,0.9321285486221313,0.19819778203964233,0.929639995098114
0.19069714844226837,0.9332942962646484,0.18911144137382507,0.9333733320236206
0.1867794543504715,0.9345771670341492,0.17811459302902222,0.938426673412323
0.1830725073814392,0.9362199902534485,0.1869257092475891,0.9343600273132324
0.1799582540988922,0.9372371435165405,0.18200822174549103,0.935093343257904
0.17674337327480316,0.9383257031440735,0.17239029705524445,0.9395333528518677
0.17399218678474426,0.9393656849861145,0.22727838158607483,0.9183599948883057
0.171676903963089,0.9403371214866638,0.16900819540023804,0.9417866468429565
0.16926179826259613,0.9411428570747375,0.1617249995470047,0.943880021572113
0.1668713092803955,0.9419342875480652,0.16109943389892578,0.9444533586502075
0.16483621299266815,0.9426514506340027,0.1571991741657257,0.9464266896247864
