loss,accuracy,val_loss,val_accuracy
0.10193795710802078,0.9665942788124084,0.04932266101241112,0.9856933355331421
0.043549034744501114,0.9872142672538757,0.0380268320441246,0.9897066950798035
0.032969217747449875,0.9907656908035278,0.03280328959226608,0.9906666874885559
0.0264871995896101,0.9928399920463562,0.028286702930927277,0.9919866919517517
0.022348634898662567,0.9940685629844666,0.027050040662288666,0.9925199747085571
0.019735796377062798,0.9948285818099976,0.02216806635260582,0.9940933585166931
0.0175262913107872,0.9954714179039001,0.020186826586723328,0.9944133162498474
0.015709640458226204,0.9958999752998352,0.01927628181874752,0.9947599768638611
0.014322110451757908,0.9962599873542786,0.018543317914009094,0.9952266812324524
0.012841002084314823,0.9967457056045532,0.018963893875479698,0.9950533509254456
0.011945834383368492,0.9969714283943176,0.016214653849601746,0.9958266615867615
0.010999942198395729,0.9971686005592346,0.0181780606508255,0.9946399927139282
0.010152594186365604,0.9975228309631348,0.016755731776356697,0.9953200221061707
0.00952459778636694,0.9976285696029663,0.01501395832747221,0.996066689491272
0.008787569589912891,0.9978228807449341,0.015153222717344761,0.9958933591842651
0.008387158624827862,0.9979085922241211,0.015406433492898941,0.9959866404533386
0.007724080700427294,0.9980999827384949,0.016012627631425858,0.9958800077438354
