loss,accuracy,val_loss,val_accuracy
0.6084867119789124,0.7356285452842712,0.43340522050857544,0.8155999779701233
0.35283762216567993,0.8684285879135132,0.27474361658096313,0.9143999814987183
0.2416318953037262,0.9357143044471741,0.2038293033838272,0.9521333575248718
0.18201863765716553,0.9635142683982849,0.1603095531463623,0.974133312702179
0.14311540126800537,0.9790857434272766,0.1269221305847168,0.9811999797821045
0.11599782109260559,0.9872571229934692,0.10739082843065262,0.987333357334137
0.0958377942442894,0.9920856952667236,0.08671727776527405,0.9941333532333374
0.07852200418710709,0.9955714344978333,0.07116969674825668,0.9944000244140625
0.06601151078939438,0.9967714548110962,0.06097876653075218,0.9965333342552185
0.054370686411857605,0.9984285831451416,0.049492381513118744,0.998533308506012
0.04604165628552437,0.9991142749786377,0.045858971774578094,0.9993333220481873
0.03884099796414375,0.9992856979370117,0.037577174603939056,0.9993333220481873
0.03251516819000244,0.9996857047080994,0.03284449502825737,0.9993333220481873
0.027628911659121513,0.9997714161872864,0.024635599926114082,0.9997333288192749
0.02301594987511635,0.9999714493751526,0.021827945485711098,0.9997333288192749
0.01996452733874321,0.999828577041626,0.018729211762547493,0.9998666644096375
0.016770614311099052,0.9999714493751526,0.016331996768712997,0.9998666644096375
0.014341522008180618,0.9998857378959656,0.014501640573143959,0.9998666644096375
0.01192327868193388,0.9999714493751526,0.011142762377858162,1.0
0.010044940747320652,1.0,0.009722976014018059,1.0
