loss,accuracy,val_loss,val_accuracy
0.7347415089607239,0.8240285515785217,0.37893274426460266,0.9462666511535645
0.2503274083137512,0.9666285514831543,0.1583554595708847,0.9855999946594238
0.10780495405197144,0.9904571175575256,0.07056695222854614,0.9958666563034058
0.04975751414895058,0.9974285960197449,0.033347416669130325,0.9989333152770996
0.023923179134726524,0.9991714358329773,0.016304131597280502,0.9995999932289124
0.011795476078987122,0.9997143149375916,0.007897970266640186,1.0
0.005915473680943251,0.9999714493751526,0.0040314048528671265,1.0
0.0030551350209861994,0.9999714493751526,0.002087653847411275,1.0
0.0016029557446017861,1.0,0.0011578643461689353,1.0
0.0008781776414252818,1.0,0.0007417738670483232,1.0
0.0004893232835456729,1.0,0.00034944043727591634,1.0
0.0002769501006696373,1.0,0.00026344426441937685,1.0
0.00015474918473046273,1.0,0.00011342568177497014,1.0
9.192148718284443e-05,1.0,0.0003484638873487711,1.0
5.3255836974130943e-05,1.0,7.560908852610737e-05,1.0
3.3692671422613785e-05,1.0,2.2634743800153956e-05,1.0
1.864093792391941e-05,1.0,2.7333224352332763e-05,1.0
1.4353070582728833e-05,1.0,2.5839750378509052e-05,1.0
8.925893780542538e-06,1.0,6.544696589116938e-06,1.0
5.172334567760117e-06,1.0,3.7047391288069775e-06,1.0
