loss,accuracy,val_loss,val_accuracy
1.2596259117126465,0.5087428689002991,1.14503812789917,0.5608000159263611
0.9934270977973938,0.6344285607337952,0.7508182525634766,0.759066641330719
0.45566269755363464,0.9030571579933167,0.27034130692481995,0.9725333452224731
0.1795879751443863,0.9907143115997314,0.13302157819271088,0.9942666888237
0.09700016677379608,0.9984285831451416,0.08086741715669632,0.998533308506012
0.06069739907979965,0.9994285702705383,0.053558383136987686,0.9994666576385498
0.04068648815155029,0.9997714161872864,0.03808410093188286,0.9995999932289124
0.028397947549819946,0.999914288520813,0.027188891544938087,0.9995999932289124
0.02003251016139984,0.9999714493751526,0.020228311419487,0.9997333288192749
0.014651947654783726,0.9999428391456604,0.015325856395065784,0.9998666644096375
0.010726050473749638,0.9999428391456604,0.011997788213193417,0.9997333288192749
0.007941799238324165,1.0,0.009838651865720749,0.9998666644096375
0.006031569559127092,1.0,0.007405955344438553,0.9995999932289124
0.004486554767936468,1.0,0.0055763390846550465,0.9998666644096375
0.003350492799654603,1.0,0.004857353866100311,0.9998666644096375
0.002595539204776287,1.0,0.0038522311951965094,0.9995999932289124
0.0020769783295691013,0.9999714493751526,0.003122807014733553,0.9998666644096375
0.0015011242358013988,1.0,0.002576598431915045,0.9998666644096375
0.0012316914508119226,1.0,0.0019868502859026194,1.0
0.000937749573495239,1.0,0.00186371267773211,0.9998666644096375
