loss,accuracy,val_loss,val_accuracy
0.24129198491573334,0.932528555393219,0.09050063043832779,0.9702399969100952
0.0684465765953064,0.9779085516929626,0.062269773334264755,0.9794266819953918
0.049127038568258286,0.9846256971359253,0.05100339651107788,0.9842533469200134
0.04028119146823883,0.9875656962394714,0.04618963226675987,0.9859333038330078
0.03480582684278488,0.9895942807197571,0.04229198396205902,0.9869066476821899
0.031119436025619507,0.9907771348953247,0.039105843752622604,0.987933337688446
0.028199486434459686,0.9916571378707886,0.03798152133822441,0.9881733059883118
0.026103457435965538,0.9921971559524536,0.036552343517541885,0.9889199733734131
0.024343563243746758,0.9928342700004578,0.034950267523527145,0.9892133474349976
0.022799789905548096,0.9933428764343262,0.034948479384183884,0.989133358001709
0.021406369283795357,0.9936514496803284,0.033797118812799454,0.989786684513092
0.02034338377416134,0.994074285030365,0.03339988365769386,0.9898800253868103
0.019183948636054993,0.9944571256637573,0.03490216284990311,0.9896933436393738
0.018360424786806107,0.9946485757827759,0.033244434744119644,0.9900533556938171
0.01753263734281063,0.9950199723243713,0.03327492997050285,0.9903200268745422
0.01678045280277729,0.9951885938644409,0.032134197652339935,0.990066647529602
0.01597386784851551,0.9954514503479004,0.035530492663383484,0.9891733527183533
0.015292895957827568,0.9956485629081726,0.03341406211256981,0.9904133081436157
0.014727702364325523,0.9958657026290894,0.033243577927351,0.9907199740409851
